timestamp,vip0,vip1,vip2,vip3,vip4,vip5,vip6,vip7,vip8,vip9
2022-10-16 08:00:00,0.00010274,0.00009452,0.00008938,0.00008116,0.00007397,0.00006575,0.00005753,0.00004829,0.0000411,0.00003801
2022-10-15 08:00:00,0.00010274,0.00009452,0.00008938,0.00008116,0.00007397,0.00006575,0.00005753,0.00004829,0.0000411,0.00003801
2022-10-14 08:00:00,0.00010274,0.00009452,0.00008938,0.00008116,0.00007397,0.00006575,0.00005753,0.00004829,0.0000411,0.00003801
2022-10-13 08:00:00,0.00010274,0.00009452,0.00008938,0.00008116,0.00007397,0.00006575,0.00005753,0.00004829,0.0000411,0.00003801
2022-10-12 08:00:00,0.00010274,0.00009452,0.00008938,0.00008116,0.00007397,0.00006575,0.00005753,0.00004829,0.0000411,0.00003801
2022-10-11 08:00:00,0.00010274,0.00009452,0.00008938,0.00008116,0.00007397,0.00006575,0.00005753,0.00004829,0.0000411,0.00003801
2022-10-10 08:00:00,0.00010274,0.00009452,0.00008938,0.00008116,0.00007397,0.00006575,0.00005753,0.00004829,0.0000411,0.00003801
2022-10-09 08:00:00,0.00010274,0.00009452,0.00008938,0.00008116,0.00007397,0.00006575,0.00005753,0.00004829,0.0000411,0.00003801
2022-10-08 08:00:00,0.00010274,0.00009452,0.00008938,0.00008116,0.00007397,0.00006575,0.00005753,0.00004829,0.0000411,0.00003801
2022-10-07 08:00:00,0.00010274,0.00009452,0.00008938,0.00008116,0.00007397,0.00006575,0.00005753,0.00004829,0.0000411,0.00003801
2022-10-06 08:00:00,0.00010274,0.00009452,0.00008938,0.00008116,0.00007397,0.00006575,0.00005753,0.00004829,0.0000411,0.00003801
2022-10-05 08:00:00,0.00010274,0.00009452,0.00008938,0.00008116,0.00007397,0.00006575,0.00005753,0.00004829,0.0000411,0.00003801
2022-10-04 08:00:00,0.00010274,0.00009452,0.00008938,0.00008116,0.00007397,0.00006575,0.00005753,0.00004829,0.0000411,0.00003801
2022-10-03 17:00:00,0.00010274,0.00009452,0.00008938,0.00008116,0.00007397,0.00006575,0.00005753,0.00004829,0.0000411,0.00003801
2022-10-03 08:00:00,0.000107,0.00009844,0.00009309,0.00008453,0.00007704,0.00006848,0.00005992,0.00005029,0.0000428,0.00003959
2022-10-02 08:00:00,0.000107,0.00009844,0.00009309,0.00008453,0.00007704,0.00006848,0.00005992,0.00005029,0.0000428,0.00003959
2022-10-01 08:00:00,0.000107,0.00009844,0.00009309,0.00008453,0.00007704,0.00006848,0.00005992,0.00005029,0.0000428,0.00003959
2022-09-30 08:00:00,0.000107,0.00009844,0.00009309,0.00008453,0.00007704,0.00006848,0.00005992,0.00005029,0.0000428,0.00003959
2022-09-29 08:00:00,0.000107,0.00009844,0.00009309,0.00008453,0.00007704,0.00006848,0.00005992,0.00005029,0.0000428,0.00003959
2022-09-28 08:00:00,0.000107,0.00009844,0.00009309,0.00008453,0.00007704,0.00006848,0.00005992,0.00005029,0.0000428,0.00003959
2022-09-27 22:00:00,0.000107,0.00009844,0.00009309,0.00008453,0.00007704,0.00006848,0.00005992,0.00005029,0.0000428,0.00003959
2022-09-27 08:00:00,0.00011233,0.00010334,0.00009773,0.00008874,0.00008088,0.00007189,0.0000629,0.0000528,0.00004493,0.00004156
2022-09-26 08:00:00,0.00011233,0.00010334,0.00009773,0.00008874,0.00008088,0.00007189,0.0000629,0.0000528,0.00004493,0.00004156
